"dates","survivals"
"08/2001",0.333333333333333
"09/2001",0.296296296296296
"10/2001",0.259259259259259
"11/2001",0.333333333333333
"12/2001",0.259259259259259
"01/2002",0.222222222222222
"02/2002",0.185185185185185
"03/2002",0.259259259259259
"04/2002",0.222222222222222
"05/2002",0.222222222222222
"06/2002",0.259259259259259
"07/2002",0.407407407407407
"08/2002",0.333333333333333
"09/2002",0.333333333333333
"10/2002",0.296296296296296
"11/2002",0.185185185185185
"12/2002",0.222222222222222
"01/2003",0.296296296296296
"02/2003",0.222222222222222
"03/2003",0.222222222222222
"04/2003",0.296296296296296
"05/2003",0.148148148148148
"06/2003",0.148148148148148
"07/2003",0.296296296296296
"08/2003",0.185185185185185
"09/2003",0.296296296296296
"10/2003",0.37037037037037
"11/2003",0.259259259259259
"12/2003",0.259259259259259
"01/2004",0.148148148148148
"02/2004",0.333333333333333
"03/2004",0.222222222222222
"04/2004",0.259259259259259
"05/2004",0.259259259259259
"06/2004",0.37037037037037
"07/2004",0.259259259259259
"08/2004",0.259259259259259
"09/2004",0.148148148148148
"10/2004",0.222222222222222
"11/2004",0.185185185185185
"12/2004",0.259259259259259
"01/2005",0.259259259259259
"02/2005",0.222222222222222
"03/2005",0.259259259259259
"04/2005",0.222222222222222
"05/2005",0.185185185185185
"06/2005",0.259259259259259
"07/2005",0.259259259259259
"08/2005",0.185185185185185
"09/2005",0.296296296296296
"10/2005",0.296296296296296
"11/2005",0.296296296296296
"12/2005",0.222222222222222
"01/2006",0.259259259259259
"02/2006",0.259259259259259
"03/2006",0.333333333333333
"04/2006",0.37037037037037
"05/2006",0.259259259259259
"06/2006",0.259259259259259
"07/2006",0.296296296296296
"08/2006",0.222222222222222
"09/2006",0.259259259259259
"10/2006",0.37037037037037
"11/2006",0.296296296296296
"12/2006",0.222222222222222
"01/2007",0.222222222222222
"02/2007",0.333333333333333
"03/2007",0.259259259259259
"04/2007",0.259259259259259
"05/2007",0.296296296296296
"06/2007",0.222222222222222
"07/2007",0.259259259259259
"08/2007",0.222222222222222
"09/2007",0.296296296296296
"10/2007",0.296296296296296
"11/2007",0.296296296296296
"12/2007",0.296296296296296
"01/2008",0.259259259259259
"02/2008",0.259259259259259
"03/2008",0.259259259259259
"04/2008",0.37037037037037
"05/2008",0.37037037037037
"06/2008",0.333333333333333
"07/2008",0.37037037037037
"08/2008",0.296296296296296
"09/2008",0.37037037037037
"10/2008",0.148148148148148
"11/2008",0.148148148148148
"12/2008",0.333333333333333
"01/2009",0.259259259259259
"02/2009",0.296296296296296
"03/2009",0.259259259259259
"04/2009",0.333333333333333
"05/2009",0.296296296296296
"06/2009",0.333333333333333
"07/2009",0.407407407407407
"08/2009",0.222222222222222
"09/2009",0.333333333333333
"10/2009",0.259259259259259
"11/2009",0.222222222222222
"12/2009",0.333333333333333
"01/2010",0.296296296296296
"02/2010",0.333333333333333
"03/2010",0.259259259259259
"04/2010",0.259259259259259
"05/2010",0.222222222222222
"06/2010",0.333333333333333
"07/2010",0.481481481481481
"08/2010",0.296296296296296
"09/2010",0.333333333333333
"10/2010",0.333333333333333
"11/2010",0.444444444444444
"12/2010",0.222222222222222
"01/2011",0.222222222222222
"02/2011",0.37037037037037
"03/2011",0.37037037037037
"04/2011",0.333333333333333
"05/2011",0.296296296296296
"06/2011",0.333333333333333
"07/2011",0.518518518518518
"08/2011",0.333333333333333
"09/2011",0.333333333333333
"10/2011",0.444444444444444
"11/2011",0.37037037037037
"12/2011",0.444444444444444
"01/2012",0.259259259259259
"02/2012",0.259259259259259
"03/2012",0.259259259259259
"04/2012",0.407407407407407
"05/2012",0.222222222222222
"06/2012",0.444444444444444
"07/2012",0.37037037037037
"08/2012",0.296296296296296
"09/2012",0.407407407407407
"10/2012",0.333333333333333
"11/2012",0.333333333333333
"12/2012",0.222222222222222
"01/2013",0.259259259259259
"02/2013",0.185185185185185
"03/2013",0.222222222222222
"04/2013",0.407407407407407
"05/2013",0.185185185185185
"06/2013",0.222222222222222
"07/2013",0.296296296296296
"08/2013",0.407407407407407
"09/2013",0.259259259259259
"10/2013",0.222222222222222
"11/2013",0.333333333333333
"12/2013",0.222222222222222
"01/2014",0.222222222222222
"02/2014",0.259259259259259
"03/2014",0.259259259259259
"04/2014",0.222222222222222
"05/2014",0.259259259259259
"06/2014",0.296296296296296
"07/2014",0.296296296296296
"08/2014",0.37037037037037
"09/2014",0.222222222222222
"10/2014",0.148148148148148
"11/2014",0.222222222222222
"12/2014",0.259259259259259
"01/2015",0.259259259259259
"02/2015",0.296296296296296
"03/2015",0.296296296296296
"04/2015",0.407407407407407
"05/2015",0.407407407407407
"06/2015",0.481481481481481
"07/2015",0.296296296296296
"08/2015",0.259259259259259
"09/2015",0.222222222222222
"10/2015",0.37037037037037
"11/2015",0.37037037037037
"12/2015",0.37037037037037
"01/2016",0.407407407407407
"02/2016",0.481481481481481
"03/2016",0.407407407407407
"04/2016",0.333333333333333
"05/2016",0.37037037037037
"06/2016",0.333333333333333
"07/2016",0.407407407407407
"08/2016",0.37037037037037
"09/2016",0.481481481481481
"10/2016",0.259259259259259
"11/2016",0.185185185185185
"12/2016",0.407407407407407
"01/2017",0.333333333333333
"02/2017",0.185185185185185
"03/2017",0.259259259259259
"04/2017",0.333333333333333
"05/2017",0.222222222222222
"06/2017",0.37037037037037
"07/2017",0.222222222222222
"08/2017",0.296296296296296
"09/2017",0.222222222222222
"10/2017",0.222222222222222
"11/2017",0.222222222222222
"12/2017",0.222222222222222
"01/2018",0.148148148148148
"02/2018",0.185185185185185
"03/2018",0.407407407407407
"04/2018",0.259259259259259
"05/2018",0.148148148148148
"06/2018",0.296296296296296
"07/2018",0.259259259259259
"08/2018",0.296296296296296
"09/2018",0.259259259259259
"10/2018",0.185185185185185
"11/2018",0.259259259259259
"12/2018",0.37037037037037
"01/2019",0.259259259259259
"02/2019",0.259259259259259
"03/2019",0.296296296296296
"04/2019",0.333333333333333
"05/2019",0.333333333333333
"06/2019",0.37037037037037
"07/2019",0.222222222222222
"08/2019",0.296296296296296
"09/2019",0.259259259259259
